Show Name,Official Account,Popular hastag,Popular hastag,Popular hastag,Popular hastag,Popular hastag,Popular hastag,Popular hastag,Popular hastag,Popular hastag,Popular hastag,Available in US?
Kim's Convenience,@KimsConvenience,#KimsConvenience, #OkSeeYou,#kimbits,#shanjung,#KimbitsKonvention,,,,,,Yes
Workin' Moms,@WorkinMoms,#WorkinMoms,#DaniKind,#DaniFuckingKind,#catherinereitman,,,,,,,Yes
Heartland,@HeartlandOnCBC,#iloveheartland,#heartland,#heartlandoncbc,#grahamwardle,#bestseriesintheworld,#Tamy, #amyfleming , #amyfleming ,#hlinprod,#iloveTyandAmy,Yes
Schitt's Creek,@SchittsCreek,#schittscreek,#catherineohara,#moirarose,#StevieBudd,#BestWishesWarmestRegards,,,,,,Yes
Between,@betweenseries,#BetweenSeries,#BetweenOnCity,#netflixbetween,#InsideBetween,#prayforprettylake,,,,,,Yes
Trailer Park Boys,@trailerparkboys,#trailerparkboys,#TPB,#swearnet,#MrLahey,#TPB9,#TPB8,#GreenBastard,#Conky,#jroc,,Yes
Total Drama,@TotalDramaNews,#totaldrama,#tdpi,#tdnoah,#totaldramaisland,#tdi,#totaldramaaction,#totaldramaworldtour , #totaldramaallstars,#totaldramaedit,#totaldramagwen ,Yes
Continuum,@ContinuumSeries,#Continuum,#Nuumnuts,#SonyaValentine,#VoteCollider,#RenewContinuum,,,,,,Yes
Orphan Black,@OrphanBlack,#OrphanBlack,#cloneclub,#Cophine,#Clonesbians,#CosimaNiehaus,,,,,,Yes
Murdoch Mysteries,@CBCMurdoch,#MurdochMysteries,#MurdochMonday,#ArtfulDetective,#jilliam, #Murdochians,#YannickBisson,,,,,Yes
Letterkenny,@LetterkennyProb,#Letterkenny,#Shoresy,#letterkennyproblems,#letterkennymemes,#letterkennyprob,#ktrevorwilson,#SquirrelyDan,#letterkennylive,,,Yes
Wynonna Earp,@WynonnaEarp,#WynonnaEarp,#BringWynonnaHome,#Earpers,#E4L ,#WayHaughtWednesday,#WhyHaught,#fiveforwynonna,#KatBarrell,#Earpapalooza,#EarpExpo2022,Yes
Departure,@Departure_TV,#DepartureTV,#pavelbartok,,,,,,,,,Yes
Rookie Blue,@RookieBlue_ABC,#rookieblue,#RBParty , #RookieBlueWednesday,,,,,,,,Yes
Hudson & Rex,@hudsonandrex,#HudsonAndRex,#rexathome,,,,,,,,,"Does not seem to be watched in US. This is what Wiki says...

-""On November 5, 2021, the show premiered exclusively as part of the original programming catalogue of the Christian based streaming of family-friendly content driven cable network UP called Up Faith & Family, in addition to its planned official US linear television debut on the network at some point in the late winter or early spring of 2022.""

"
Private Eyes,@privateeyes_tv,#PrivateEyes,#savePrivateEyes,#Shangie,,,,,,,,No
Degrassi,@Degrassi,#Degrassi,#DegrassiNextClass,#eclare,#degrassituesday,#Degrassi13,#degrassi13C,#degrassi13d,#DegrassiSeason13,,,Yes
Saving Hope,@SavingHopeTV,#SavingHopeTV,#SavingHope,#CharlieHarris,,,,,,,,Yes
Motive,@MotiveABC,#Motiveabc,,,,,,,,,,Yes
Still Standing,@StillStandingTV,#stillstandingtv,#SmallTownsBigLaughs,#smalltownselfies,,,,,,,,Yes
Transplant,@TransplantCTV,#TransplantCTV,,,,,,,,,,Yes
Children Ruin Everything,@childrenruin_tv,#ChildrenRuinEverything,,,,,,,,,,Yes
Family Law,@FamilyLawGlobal,#familylawglobaltv,,,,,,,,,,Yes
Nurses,N/A,#nursessnbc,,,,,,,,,,No
Mr. D,@mrd_on_cbc,#mrdoncbc,#MrDTheGymTeacher,,,,,,,,,Yes
Coroner,@CoronerCBC,#CoronerCBC,,,,,,,,,,Yes
